text,sentiment
"Jika makanannya tidak cukup buruk untuk Anda, maka nikmati berurusan dengan orang-orang mabuk yang paling buruk/menyebalkan di dunia.",0
"kesana buat Foto Booth hahahha.. parkir motor terpisah d gedung lain di belakang Mall untuk petugas parkirnya kurang banyak saran lebih dr satu krn tak lihat pas aku k sana pas ada org mau keluar akses pintuny cmn bisa d buka karyawan dan kryawanny tu keliling klo mau kluar musti nunggu dulu 😴. semoga diperbaiki ya untuk sistem parkirnya.. mall ya rada sepi pas aku k sana rame d bagian ice skating nya aja sm lucuny banyak aquarium ny dan d langit"" mall nya ad hiu wkwkwk",1
"Mall sepi, pertama kali datang jam 10.30 di parkiran baru ada sekitar 5 mobil Tempat makan sebagian banyak di lantai G : Yoshinoya, Starbucks, JCO, Kopi Kenangan, etc Fasilitas umum : toilet umum bersih, mushola lumayan jauh di lantai 2 (keluar lift langsung ke kiri sampai ke pojokan) Yang menarik : XXI (paling murah se-Surabaya), Nav Karaoke, Ace Hardware & Informa  Kesimpulan : kurang menarik untuk jalan jalan karena tenant minim, tapi untuk nonton cocok karena ngga terlalu rame, untuk meeting sama client juga pas karena mall tidak berisik",1
Akan kembali perjalanan berikutnya.,1
"Diketahui Mal Tunjungan Plaza kembali kebakaran Namun belum sempat membesar api berhasil dipadamkan dengan cepat. Meski begitu para pengunjung yang berada di Mall Tunjungan sempat geger dan berhamburan keluar  Menurut Sutandi Purnomosidi, munculnya api tersebut berasal dari food court lantai 5.  ""Api datang dari salah satu dapur tenant yang ada di lantai 5, cuma kebakaran kecil.” kata Sutandi.  Sutandi menuturkan, api muncul diduga akibat korsleting pada exhaust fan sehingga listrik di lantai 5 langsung dipadamkan dan aktivitas dihentikan.  ""Iya korsletnya di bagian exhaust fan tenant penjual steak, kemarin sekitar 17.00 WIB, "" ungkap dia.  Kendati demikian, lanjut Sutandi, kesigapan internal karyawannya saat mengetahui insiden tersebut langsung menanganinya.  Api yang muncul dari tenant tersebut sudah berhasil dipadamkan melalui alat pemadam api ringan (APAR) sehingga tidak menjalar lebih luas.  Sementara itu, Kepala Badan Penanggulangan Bencana Daerah (BPBD) Kota Surabaya Ridwan Mubarrun mengatakan, berdasarkan pengecekan petugas Pemadam Kebakaran (PMK) di lokasi kejadian, didapati obyek yang terbakar merupakan motor exhaust yang titik pastinya berada di atas plafon salah satu gerai makanan di food court lantai lima.  ""Kemarin cuma motor fan exhaust yang terbakar,"" kata dia.  Saat munculnya asap alarm peringatan kebakaran pun diketahui tidak sempat berbunyi.  dan cs juga tak ramah tamah",0
"Mall favorit, ada Sociolla & susu mbok Darmi ❤️❤️❤️❤️❤️ Tapi kalo parkir motor lebih baik di mesjid sebrang sih bayar seikhlasnya, kalo di mall perjam 4rebu pake e-money wajib & STNK diperiksa. Padahal random aja abangnya kadang ada kadang NGA, kalo lagi apes ga bawa ya lumayan bayarnya xixixixi",1
Tempatnya sejuk udaranya segar tpi blm ada fasilitas lain yg memadai.,0
Layanannya enak.,0
Pancake juga sangat enak dan cukup besar pada saat itu.,1
Tempat yang bagus untuk bersantai dan menikmati burger dan bir yang luar biasa.,1
