text,sentiment
Wow... Mencintai tempat ini.,1
Kerak tidak baik.,0
Tidak enak dan teksturnya tidak enak.,0
Mampir selama liburan bank akhir Mei dari rekomendasi Rick Steve dan menyukainya.,1
Pilihan pada menu sangat bagus dan begitu pula harga.,1
Sekarang saya menjadi marah dan saya ingin pho sialan saya.,0
Kejujuran rasanya tidak segar.),0
Kentangnya seperti karet dan Anda bisa tahu bahwa kentang itu dibuat sebelumnya dengan disimpan di bawah penghangat.,0
Kentang goreng juga enak.,1
Sentuhan yang bagus.,1
Layanan sangat cepat.,1
Tidak akan kembali.,0
Kasir tidak peduli apa yang harus saya katakan itu masih terlalu mahal.,0
"Saya mencoba ravoli Cape Cod, ayam, dengan cranberry... mmmm!",1
Saya merasa jijik karena saya cukup yakin itu adalah rambut manusia.,0
Saya kaget karena tidak ada tanda yang menunjukkan hanya uang tunai.,0
Sangat dianjurkan.,1
Pelayan agak lambat dalam pelayanan.,0
"Tempat ini tidak sepadan dengan waktu Anda, apalagi Vegas.",0
tidak suka sama sekali.,0
Burritto Bla!,0
"Makanannya, luar biasa.",1
Layanan ini juga lucu.,1
Saya tidak peduli... Interiornya sangat indah.,1
Jadi mereka tampil.,1
Itu benar....kue beludru merah.....ohhh barangnya enak sekali.,1
- Mereka tidak pernah membawa salad yang kami minta.,0
"Lubang di dinding ini memiliki taco jalanan Meksiko yang enak, dan staf yang ramah.",1
"Butuh waktu satu jam untuk mendapatkan makanan kami hanya 4 meja di restoran makanan saya hangat Luke, server kami berlarian seperti dia benar-benar kewalahan.",0
Yang terburuk adalah salmon sashimi.,0
"Juga ada kombo seperti burger, kentang goreng, dan bir untuk 23 orang yang merupakan kesepakatan yang layak.",1
Ini seperti pukulan terakhir!,0
Saya menemukan tempat ini secara tidak sengaja dan saya tidak bisa lebih bahagia.,1
"sepertinya tempat cepat yang bagus untuk mencicipi beberapa makanan pub yang sudah dikenal, tetapi bantulah diri Anda sendiri dan cari di tempat lain.",0
"Secara keseluruhan, saya sangat menyukai tempat ini.",1
Satu-satunya kualitas penebusan restoran adalah sangat murah.,1
Banyak porsi dan harga bagus.,1
"Layanan yang buruk, pelayan membuat saya merasa bodoh setiap kali dia datang ke meja.",0
Kunjungan pertama saya ke Hiro sangat menyenangkan!,1
Layanan menyebalkan.,0
Udangnya empuk dan lembab.,1
Tidak ada kesepakatan yang cukup bagus yang akan menyeret saya ke tempat itu lagi.,0
Sulit untuk menilai apakah sisi-sisi ini bagus karena kami merasa jijik dengan styrofoam yang meleleh dan tidak mau memakannya karena takut sakit.,0
"Sebagai catatan positif, server kami sangat penuh perhatian dan memberikan layanan yang luar biasa.",1
"Kepingan jijik beku, dengan beberapa orang terburuk di belakang daftar.",0
